class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;2;;protected void <init>(java.lang.String, java.rmi.MarshalledObject, boolean, int) throws java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.rmi.MarshalledObject;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;z0 := @parameter2: boolean;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;4;;protected void <init>(java.lang.String, java.rmi.MarshalledObject, boolean, int, java.rmi.server.RMIClientSocketFactory, java.rmi.server.RMIServerSocketFactory) throws java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r3;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r4 := @parameter5: java.rmi.server.RMIServerSocketFactory;;NullAllowed pattern detected param is  :r3
java.rmi.Naming;; * ;; * ;;*;;r4;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.server.RemoteServer: void <init>()>();;NullAllowed pattern detected param is  :r4
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.rmi.MarshalledObject;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;z0 := @parameter2: boolean;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;protected void <init>(java.rmi.activation.ActivationID, int) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter1: int;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;3;;protected void <init>(java.rmi.activation.ActivationID, int, java.rmi.server.RMIClientSocketFactory, java.rmi.server.RMIServerSocketFactory) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r3 := @parameter3: java.rmi.server.RMIServerSocketFactory;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;; * ;; * ;;*;;r3;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.server.RemoteServer: void <init>()>();;NullAllowed pattern detected param is  :r3
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter1: int;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;register;;1;;public static java.rmi.Remote register(java.rmi.activation.ActivationDesc) throws java.rmi.activation.UnknownGroupException, java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r1 = staticinvoke <java.rmi.activation.ActivationGroup: java.rmi.activation.ActivationSystem getSystem()>();;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;inactive;;1;;public static boolean inactive(java.rmi.activation.ActivationID) throws java.rmi.activation.UnknownObjectException, java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r1 = staticinvoke <java.rmi.activation.ActivationGroup: java.rmi.activation.ActivationGroup currentGroup()>();;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;unregister;;1;;public static void unregister(java.rmi.activation.ActivationID) throws java.rmi.activation.UnknownObjectException, java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r1 = staticinvoke <java.rmi.activation.ActivationGroup: java.rmi.activation.ActivationSystem getSystem()>();;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;exportObject;;3;;public static java.rmi.activation.ActivationID exportObject(java.rmi.Remote, java.lang.String, java.rmi.MarshalledObject, boolean, int) throws java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 := @parameter1: java.lang.String;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter2: java.rmi.MarshalledObject;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
