class name;;number of detected pattern;;;
org.jhotdraw.app.action.AboutAction;;0;;;
org.jhotdraw.draw.DragTracker;;0;;;
org.jhotdraw.app.action.ExitAction;;0;;;
org.jhotdraw.draw.StickyChopConnector;;0;;;
org.jhotdraw.util.LocaleUtil;;0;;;
net.n3.nanoxml.StdXMLReader;;0;;;
org.jhotdraw.draw.action.SelectSameAction;;0;;;
org.jhotdraw.app.action.LoadAction;;0;;;
org.jhotdraw.app.action.CutAction;;0;;;
org.jhotdraw.app.action.CopyAction;;0;;;
org.jhotdraw.util.prefs.ToolBarPrefsHandler;;0;;;
org.jhotdraw.draw.BorderRectangleFigure;;0;;;
net.n3.nanoxml.XMLParseException;;0;;;
org.jhotdraw.draw.TextAreaFigure;;0;;;
net.n3.nanoxml.CDATAReader;;0;;;
org.jhotdraw.draw.ChopRoundRectConnector;;0;;;
org.jhotdraw.samples.pert.figures.DependencyFigure;;0;;;
org.jhotdraw.util.Methods;;0;;;
org.jhotdraw.app.action.ExportAction;;0;;;
org.jhotdraw.draw.GeometryEdit;;0;;;
org.jhotdraw.app.action.MinimizeAction;;0;;;
org.jhotdraw.samples.pert.PertFactory;;0;;;
org.jhotdraw.app.action.SaveAsAction;;0;;;
net.n3.nanoxml.XMLWriter;;0;;;
org.jhotdraw.samples.svg.figures.SVGImage;;0;;;
org.jhotdraw.draw.ChangeConnectionEndHandle;;0;;;
org.jhotdraw.samples.svg.figures.SVGPath;;0;;;
org.jhotdraw.draw.DrawingEvent;;0;;;
org.jhotdraw.gui.MDIDesktopPane;;0;;;
org.jhotdraw.draw.BezierPointLocator;;0;;;
net.n3.nanoxml.StdXMLParser;;0;;;
org.jhotdraw.samples.net.NetFactory;;0;;;
org.jhotdraw.app.AbstractApplication;;0;;;
org.jhotdraw.draw.action.MoveToBackAction;;0;;;
org.jhotdraw.samples.draw.DrawApplicationModel;;0;;;
org.jhotdraw.draw.action.Colors;;0;;;
org.jhotdraw.samples.net.NetApplicationModel;;0;;;
net.n3.nanoxml.ValidatorPlugin;;0;;;
org.jhotdraw.app.action.ProjectPropertyAction;;0;;;
org.jhotdraw.draw.AbstractCompositeFigure;;0;;;
org.jhotdraw.samples.draw.DrawingPanelBeanInfo;;0;;;
org.jhotdraw.draw.action.ApplyAttributesAction;;0;;;
org.jhotdraw.draw.ChopDiamondConnector;;0;;;
org.jhotdraw.geom.Dimension2DDouble;;0;;;
org.jhotdraw.draw.action.ImageBevelBorder;;0;;;
org.jhotdraw.xml.JavaxDOMOutput;;1;;;
org.jhotdraw.util.prefs.PreferencesUtil;;0;;;
net.n3.nanoxml.XMLValidationException;;0;;;
org.jhotdraw.draw.TriangleRotationHandler;;0;;;
org.jhotdraw.app.action.LoadRecentAction;;0;;;
org.jhotdraw.app.action.DeleteAction;;0;;;
org.jhotdraw.xml.JavaxDOMInput;;0;;;
org.jhotdraw.samples.svg.Main;;0;;;
org.jhotdraw.draw.ListFigure;;0;;;
org.jhotdraw.draw.BezierLabelLocator;;0;;;
org.jhotdraw.draw.QuadTreeDrawing;;0;;;
org.jhotdraw.draw.CompositeTransformEdit;;0;;;
org.jhotdraw.app.action.ArrangeAction;;0;;;
org.jhotdraw.samples.draw.DrawLiveConnectApplet;;0;;;
org.jhotdraw.draw.LabeledLineConnectionFigure;;0;;;
